VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-07-01 04:37:55,2021-07-01 05:24:22,N,1,126,235,1,13.16,45.5,0.5,0.5,0,0,,0.3,46.8,1,1,0
2,2021-07-01 04:31:16,2021-07-01 04:45:32,N,5,129,138,1,3.16,9.2,0,0.5,0,0,,0.3,10,2,1,0
2,2021-07-01 04:24:05,2021-07-01 06:00:50,N,1,227,23,1,23.12,91,0.5,0.5,0,6.55,,0.3,98.85,1,1,0
2,2021-07-01 04:18:18,2021-07-01 04:18:23,N,1,150,150,1,.00,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
2,2021-07-01 04:14:23,2021-07-01 04:19:29,N,1,74,75,1,1.15,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2021-07-01 04:21:26,2021-07-01 04:21:40,N,5,75,75,1,.00,7.3,0,0,0,0,,0.3,7.6,1,2,0
2,2021-07-01 04:27:43,2021-07-01 04:44:14,N,1,136,81,1,8.25,24.5,0.5,0.5,0,0,,0.3,25.8,2,1,0
2,2021-07-01 04:39:47,2021-07-01 05:05:16,N,2,244,132,1,19.99,52,0,0.5,0,6.55,,0.3,59.35,2,1,0
2,2021-07-01 05:38:26,2021-07-01 05:50:09,N,1,10,197,1,2.76,11.5,0.5,0.5,0,0,,0.3,12.8,1,1,0
1,2021-07-01 05:01:34,2021-07-01 05:11:09,N,1,74,75,1,.00,10.2,0,0.5,0,0,,0.3,11,1,1,0
1,2021-07-01 05:24:07,2021-07-01 05:34:16,N,1,75,107,1,5.00,16,3.25,0.5,4,0,,0.3,24.05,1,1,2.75
2,2021-07-01 05:04:41,2021-07-01 05:05:12,N,1,173,173,2,.00,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
1,2021-07-01 05:47:50,2021-07-01 05:54:09,N,1,74,75,1,1.40,7,0.5,0.5,2.45,0,,0.3,10.75,1,1,0
2,2021-07-01 05:40:51,2021-07-01 05:57:46,N,1,95,132,1,7.71,24,0.5,0.5,0,0,,0.3,25.3,2,1,0
2,2021-07-01 05:51:25,2021-07-01 06:17:01,N,1,116,107,1,8.46,28,0.5,0.5,6.41,0,,0.3,38.46,1,1,2.75
2,2021-07-01 05:06:24,2021-07-01 05:51:14,N,1,159,23,1,30.59,82,0.5,0.5,0,6.55,,0.3,89.85,1,1,0
2,2021-07-01 05:53:17,2021-07-01 06:31:59,N,1,23,212,1,33.82,87.5,0.5,0.5,26.64,0,,0.3,115.44,1,1,0
2,2021-07-01 05:47:04,2021-07-01 05:53:49,N,1,74,42,1,2.47,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2021-07-01 06:00:57,2021-07-01 07:12:35,N,1,240,197,1,21.33,73,0.5,0.5,0,6.55,,0.3,80.85,1,1,0
2,2021-07-01 06:19:46,2021-07-01 06:26:12,N,1,74,75,1,1.59,7,0,0.5,0,0,,0.3,7.8,2,1,0
2,2021-07-01 06:32:22,2021-07-01 06:37:05,N,1,74,43,1,.96,5.5,0,0.5,1.26,0,,0.3,7.56,1,1,0
2,2021-07-01 06:40:09,2021-07-01 06:47:11,N,1,75,166,1,1.67,7.5,0,0.5,1.66,0,,0.3,9.96,1,1,0
2,2021-07-01 06:23:16,2021-07-01 06:51:24,N,1,166,116,1,6.79,25.5,0,0.5,0,0,,0.3,26.3,2,1,0
